parent_asin,happier_group
B00006IUV4,100% verified are happier
B00006J04Y,100% verified are happier
B00006J04Z,0% non-verified are happier
B00006JPD5,100% verified are happier
B00006JPD8,100% verified are happier
B000071K5N,Sentiment is neutral for both
B000079B5Z,100% verified are happier
B00007E7LT,0% non-verified are happier
B00007E7RQ,100% verified are happier
B00007GD5N,100% non-verified are happier
B00007GD9M,100% verified are happier
B0000899WB,100% non-verified are happier
B00008B5DZ,100% verified are happier
B00008B5E0,100% verified are happier
B00008BWM8,100% verified are happier
B00008D2MR,100% verified are happier
B00008LUPV,52% verified are happier
B00008RCNH,100% verified are happier
B00008W2LW,100% verified are happier
B00009RB0X,99% non-verified are happier
B00009RB0Y,100% verified are happier
B00009RB0Z,100% non-verified are happier
B00009RB17,100% verified are happier
B00009RB1I,100% verified are happier
B00009V3UC,100% verified are happier
B00009V3UE,100% verified are happier
B00009V3UV,100% verified are happier
B00009V3UW,100% verified are happier
B00009W3GJ,100% verified are happier
B00009W3GR,0% non-verified are happier
B00009W3HB,100% verified are happier
B00009W3I4,100% verified are happier
B00009W3N6,Sentiment is neutral for both
B00009W40D,100% verified are happier
B00009ZY40,87% verified are happier
B0000A1GQ3,100% non-verified are happier
B0000A605R,89% verified are happier
B0000AHSAM,0% non-verified are happier
B0000AHSAR,Sentiment is neutral for both
B0000AJQ42,100% verified are happier
B0000AQRSR,100% verified are happier
B0000AYKNU,0% verified are happier
B0000CBILJ,100% verified are happier
B0000CF3HB,100% verified are happier
B0000CF4DJ,100% verified are happier
B0000DD4ME,100% verified are happier
B0000DI7XR,100% verified are happier
B0000DJAJ6,100% non-verified are happier
B0000E68SY,100% verified are happier
B0000TN7NS,100% verified are happier
B0000TP57E,100% non-verified are happier
B0000WM2IG,66% non-verified are happier
B0000WS438,100% verified are happier
B0000WS5FK,100% verified are happier
B0000Y3D5K,100% non-verified are happier
B0000YV9Q0,100% verified are happier
B0000ZG44Q,100% non-verified are happier
B0000ZLF18,100% verified are happier
B00011JN5G,0% non-verified are happier
B00011R614,100% non-verified are happier
B00011SJL0,100% non-verified are happier
B00012C00U,Sentiment is neutral for both
B00012EYNG,100% non-verified are happier
B00012F7G4,100% verified are happier
B00012FL8I,0% non-verified are happier
B00012K42Q,100% verified are happier
B00013Z0EM,100% verified are happier
B000142AN0,100% verified are happier
B00014EF3S,100% verified are happier
B00014FDQQ,100% verified are happier
B00014FG18,79% verified are happier
B00014JOLG,Sentiment is neutral for both
B000165DSM,100% verified are happier
B00016QZ0C,100% verified are happier
B00018706I,100% verified are happier
B000189YBW,100% verified are happier
B00018TN1S,100% verified are happier
B0001AVUXA,100% non-verified are happier
B0001CKIPE,59% non-verified are happier
B0001D35FI,100% verified are happier
B0001GUDKK,100% verified are happier
B0001HYJW2,50% non-verified are happier
B0001HYKBC,100% non-verified are happier
B0001HYKBM,100% non-verified are happier
B0001HYLR0,100% verified are happier
B0001I2F04,Sentiment is neutral for both
B0001IXA9O,0% non-verified are happier
B0001KHN2M,100% verified are happier
B0001M1IAI,100% verified are happier
B0001M3V3U,100% verified are happier
B0001N7SWE,100% non-verified are happier
B0001TM9WC,100% non-verified are happier
B0001YJ5EW,100% verified are happier
B0001ZWPI4,93% verified are happier
B0001ZZSFG,100% verified are happier
B000209ZOA,100% non-verified are happier
B00021B4I4,100% verified are happier
B00021E2DI,100% verified are happier
B00023C3YG,100% verified are happier
B00023DHV4,100% verified are happier
B00023J4AW,100% verified are happier
B000246SKU,100% verified are happier
B00024CLEC,100% non-verified are happier
B0002564EE,100% verified are happier
B00026A2DM,100% verified are happier
B000289DCG,100% verified are happier
B00029HDT0,0% verified are happier
B00029XHBI,100% verified are happier
B0002BBNCQ,100% verified are happier
B0002BG2R2,100% verified are happier
B0002BG2S6,100% verified are happier
B0002BG48E,100% verified are happier
B0002CZG0U,100% non-verified are happier
B0002CZQZU,100% verified are happier
B0002CZRU4,100% verified are happier
B0002CZSTE,100% verified are happier
B0002CZSX0,100% verified are happier
B0002CZT1G,100% verified are happier
B0002CZT2A,100% verified are happier
B0002CZTIO,100% verified are happier
B0002CZU56,Sentiment is neutral for both
B0002CZVG4,100% verified are happier
B0002CZVI2,100% non-verified are happier
B0002CZVS2,100% verified are happier
B0002CZWRW,100% verified are happier
B0002CZWZY,100% verified are happier
B0002CZXS0,100% non-verified are happier
B0002CZYFC,100% verified are happier
B0002CZYHK,100% verified are happier
B0002CZZMY,100% non-verified are happier
B0002D00F0,0% non-verified are happier
B0002D00H8,100% verified are happier
B0002D00NM,100% verified are happier
B0002D01IG,100% verified are happier
B0002D01JK,100% verified are happier
B0002D01K4,100% verified are happier
B0002D01KO,Sentiment is neutral for both
B0002D02F8,100% non-verified are happier
B0002D02RG,100% verified are happier
B0002D03S4,0% non-verified are happier
B0002D03X4,0% non-verified are happier
B0002D03ZC,100% verified are happier
B0002D04HE,100% non-verified are happier
B0002D04TC,100% verified are happier
B0002D05FU,100% verified are happier
B0002D06EU,Sentiment is neutral for both
B0002D087A,100% non-verified are happier
B0002D0A82,100% verified are happier
B0002D0BSQ,100% verified are happier
B0002D0C0S,100% verified are happier
B0002D0C1C,100% verified are happier
B0002D0CAI,100% verified are happier
B0002D0CCQ,100% verified are happier
B0002D0CEO,100% verified are happier
B0002D0CFS,53% non-verified are happier
B0002D0CL2,100% verified are happier
B0002D0CNA,100% verified are happier
B0002D0EDS,100% verified are happier
B0002D0EN8,79% verified are happier
B0002D0H0S,100% verified are happier
B0002D0IUM,100% verified are happier
B0002D0JX8,290% non-verified are happier
B0002D0JXI,100% verified are happier
B0002D0JZQ,71% verified are happier
B0002D0K50,100% verified are happier
B0002D0KCS,100% verified are happier
B0002D0KDC,100% verified are happier
B0002D0L4K,Sentiment is neutral for both
B0002D0M94,100% verified are happier
B0002D0MHQ,0% non-verified are happier
B0002D0N7A,100% non-verified are happier
B0002D0NSY,100% verified are happier
B0002D0NZ2,100% verified are happier
B0002D0PWI,Sentiment is neutral for both
B0002D0Q2W,100% verified are happier
B0002D15JU,100% verified are happier
B0002DK8VG,100% non-verified are happier
B0002DNAF2,100% non-verified are happier
B0002DNSMC,100% verified are happier
B0002DNUIO,100% verified are happier
B0002DNUWK,100% non-verified are happier
B0002DNX8Q,100% verified are happier
B0002DUEO2,100% verified are happier
B0002DUQ72,100% verified are happier
B0002DURGW,100% verified are happier
B0002DURLC,100% verified are happier
B0002DURPI,Sentiment is neutral for both
B0002DUVL8,100% verified are happier
B0002DUVQI,100% non-verified are happier
B0002DUVU4,100% verified are happier
B0002DUWWQ,Sentiment is neutral for both
B0002DV0CC,100% verified are happier
B0002DV0G8,100% verified are happier
B0002DV0GI,0% non-verified are happier
B0002DV5KO,100% verified are happier
B0002DV7OI,0% non-verified are happier
B0002DV8BU,79% non-verified are happier
B0002DVBRQ,100% verified are happier
B0002DVD7E,100% verified are happier
B0002DVDQ0,0% non-verified are happier
B0002DX5KW,100% verified are happier
B0002E1ES6,100% verified are happier
B0002E1EVS,100% verified are happier
B0002E1IW8,100% verified are happier
B0002E1NJG,100% verified are happier
B0002E1NJQ,100% verified are happier
B0002E1TAY,100% verified are happier
B0002E1TB8,100% verified are happier
B0002E1UEO,100% verified are happier
B0002E2D1I,Sentiment is neutral for both
B0002E2G5Q,100% verified are happier
B0002E2KU2,0% verified are happier
B0002E2MP0,100% verified are happier
B0002E2MQE,100% verified are happier
B0002E2NCM,100% verified are happier
B0002E2O2Q,100% verified are happier
B0002E2OXA,100% verified are happier
B0002E2Q92,Sentiment is neutral for both
B0002E2S1I,100% verified are happier
B0002E2SCW,100% verified are happier
B0002E2SUO,100% verified are happier
B0002E2TG2,100% verified are happier
B0002E2XCW,100% verified are happier
B0002E369G,100% verified are happier
B0002E373G,100% verified are happier
B0002E3808,100% verified are happier
B0002E382Q,100% verified are happier
B0002E38AS,100% verified are happier
B0002E38DU,100% verified are happier
B0002E3A3S,0% non-verified are happier
B0002E3AHY,100% verified are happier
B0002E3B0K,100% verified are happier
B0002E3B78,100% verified are happier
B0002E3DF8,100% verified are happier
B0002E3FBA,100% verified are happier
B0002E3FGA,100% verified are happier
B0002E3KPQ,100% verified are happier
B0002E3MRW,Sentiment is neutral for both
B0002E3MYK,100% non-verified are happier
B0002E3MZO,100% verified are happier
B0002E4YI8,100% verified are happier
B0002E4YYM,100% verified are happier
B0002E4ZIW,0% non-verified are happier
B0002E50WC,100% verified are happier
B0002E51C6,100% verified are happier
B0002E5266,Sentiment is neutral for both
B0002E52HK,100% verified are happier
B0002E52OI,Sentiment is neutral for both
B0002E52RU,100% verified are happier
B0002E56FI,100% verified are happier
B0002E56U8,0% non-verified are happier
B0002E582O,100% verified are happier
B0002E7DJ0,100% verified are happier
B0002EB5OE,100% verified are happier
B0002EJNG6,100% verified are happier
B0002EJUX2,100% verified are happier
B0002EJVUY,100% verified are happier
B0002EKBJO,100% verified are happier
B0002ERE0S,100% verified are happier
B0002EWU7K,100% verified are happier
B0002F4LPS,100% verified are happier
B0002F4MI4,100% verified are happier
B0002F4MKM,0% non-verified are happier
B0002F4MKW,Sentiment is neutral for both
B0002F4ML6,100% verified are happier
B0002F4N0Q,100% verified are happier
B0002F4NB0,100% non-verified are happier
B0002F4NMY,Sentiment is neutral for both
B0002F4TUA,100% verified are happier
B0002F4V30,0% non-verified are happier
B0002F4VTE,Sentiment is neutral for both
B0002F4VTO,100% verified are happier
B0002F4W0W,100% verified are happier
B0002F4WC0,0% non-verified are happier
B0002F4WCU,100% verified are happier
B0002F4WD4,100% verified are happier
B0002F4Y78,100% verified are happier
B0002F4Y7S,0% non-verified are happier
B0002F4YQY,100% verified are happier
B0002F50VW,100% verified are happier
B0002F51D4,Sentiment is neutral for both
B0002F52EW,0% verified are happier
B0002F52U6,0% non-verified are happier
B0002F56HK,100% verified are happier
B0002F57X8,100% verified are happier
B0002F58YQ,100% verified are happier
B0002F596S,Sentiment is neutral for both
B0002F59EU,100% verified are happier
B0002F59ZY,100% verified are happier
B0002F5BKW,100% verified are happier
B0002F5C7Y,100% verified are happier
B0002F5D9G,Sentiment is neutral for both
B0002F5DGE,100% non-verified are happier
B0002F5DL4,100% verified are happier
B0002F5F9O,100% verified are happier
B0002F5GXO,0% non-verified are happier
B0002F5H1K,100% verified are happier
B0002F5H38,0% non-verified are happier
B0002F5IJ6,45% verified are happier
B0002F6NH2,100% verified are happier
B0002F6NJA,100% verified are happier
B0002F6PJ8,100% verified are happier
B0002F6RSM,100% verified are happier
B0002F6RTQ,100% non-verified are happier
B0002F6S36,100% verified are happier
B0002F6TP8,100% verified are happier
B0002F6UGQ,100% verified are happier
B0002F6W5K,100% verified are happier
B0002F6WSM,100% verified are happier
B0002F6XIQ,100% verified are happier
B0002F707Y,100% non-verified are happier
B0002F71KK,100% verified are happier
B0002F71RI,Sentiment is neutral for both
B0002F73TE,100% verified are happier
B0002F73YY,100% verified are happier
B0002F742K,100% verified are happier
B0002F7434,100% verified are happier
B0002F74AM,100% verified are happier
B0002F74C0,100% verified are happier
B0002F75KG,100% verified are happier
B0002F76XC,100% verified are happier
B0002F77PY,100% verified are happier
B0002F787G,100% verified are happier
B0002F78KS,Sentiment is neutral for both
B0002F78QW,100% verified are happier
B0002F79ZW,100% non-verified are happier
B0002F7A0G,100% verified are happier
B0002F7C6I,100% verified are happier
B0002F7CK4,100% verified are happier
B0002F7EWU,100% verified are happier
B0002F7FAG,0% non-verified are happier
B0002F7FQA,100% verified are happier
B0002F7FU6,100% verified are happier
B0002F7GPK,0% verified are happier
B0002F7IQ2,100% verified are happier
B0002F7IXA,0% non-verified are happier
B0002F7J3O,100% verified are happier
B0002F7KK6,100% verified are happier
B0002FO2IO,Sentiment is neutral for both
B0002FO5LS,100% verified are happier
B0002FO5RC,0% non-verified are happier
B0002FO8BK,100% verified are happier
B0002FO9RS,100% verified are happier
B0002FOJEG,100% non-verified are happier
B0002FOLDU,100% verified are happier
B0002FOXD8,100% verified are happier
B0002GFO9E,100% verified are happier
B0002GFODK,100% verified are happier
B0002GFP9I,100% verified are happier
B0002GH8X4,100% verified are happier
B0002GIV1W,100% verified are happier
B0002GJ4KO,100% verified are happier
B0002GJNBO,100% verified are happier
B0002GJNEG,100% verified are happier
B0002GKRPU,100% verified are happier
B0002GKXP4,100% verified are happier
B0002GKYZI,100% verified are happier
B0002GLBUK,100% verified are happier
B0002GMG1I,100% verified are happier
B0002GNT0U,100% verified are happier
B0002GNZBS,100% verified are happier
B0002GO15C,100% non-verified are happier
B0002GO3SW,100% verified are happier
B0002GO4Y0,100% verified are happier
B0002GO8NM,100% verified are happier
B0002GOBC0,100% verified are happier
B0002GTTRC,100% verified are happier
B0002GU1EW,100% verified are happier
B0002GUFDO,100% verified are happier
B0002GW3Y8,Sentiment is neutral for both
B0002GW64A,100% verified are happier
B0002GWKI2,100% verified are happier
B0002GWLO0,100% verified are happier
B0002GWNMU,100% verified are happier
B0002GWRIK,100% verified are happier
B0002GWZ46,100% verified are happier
B0002GX7XY,100% verified are happier
B0002GX96Y,100% verified are happier
B0002GXPRM,100% verified are happier
B0002GXRF2,100% verified are happier
B0002GXZAO,100% non-verified are happier
B0002GXZUY,Sentiment is neutral for both
B0002GY64S,Sentiment is neutral for both
B0002GYX78,100% verified are happier
B0002GYYPE,0% non-verified are happier
B0002GZBKG,100% non-verified are happier
B0002GZLDI,100% non-verified are happier
B0002GZLYM,Sentiment is neutral for both
B0002GZSNQ,100% verified are happier
B0002GZSQI,100% verified are happier
B0002GZV5Q,100% verified are happier
B0002GZZNY,100% verified are happier
B0002H013M,100% non-verified are happier
B0002H06X2,100% verified are happier
B0002H0D58,100% verified are happier
B0002H0GF0,100% non-verified are happier
B0002H0M7W,100% verified are happier
B0002H0MC2,100% verified are happier
B0002H0OCK,100% non-verified are happier
B0002H0RXQ,100% verified are happier
B0002H0S5I,100% verified are happier
B0002H0SA8,0% non-verified are happier
B0002H0SUS,100% non-verified are happier
B0002H7U6I,100% verified are happier
B0002HLJR4,100% non-verified are happier
B0002HLKKK,100% verified are happier
B0002HMO1E,100% verified are happier
B0002HS7OW,100% non-verified are happier
B0002HU8NK,100% verified are happier
B0002I20B2,100% verified are happier
B0002I6LW6,0% non-verified are happier
B0002I6PRM,100% verified are happier
B0002I8Y6W,100% verified are happier
B0002I907O,100% verified are happier
B0002IGCLQ,-152% non-verified are happier
B0002IHDYG,100% verified are happier
B0002IHGAC,100% verified are happier
B0002II6LK,100% verified are happier
B0002II7H8,100% verified are happier
B0002IJ9NE,100% non-verified are happier
B0002IJEES,0% non-verified are happier
B0002IJG9Q,100% verified are happier
B0002IL4B4,100% verified are happier
B0002IOXU8,100% verified are happier
B0002ISPTI,0% verified are happier
B0002JG4GS,82% verified are happier
B0002JKOZA,Sentiment is neutral for both
B0002JL2D8,100% verified are happier
B0002JSWI6,0% non-verified are happier
B0002KHT8Y,78% verified are happier
B0002KX5E6,100% verified are happier
B0002KXMT4,67% verified are happier
B0002KZAK8,100% verified are happier
B0002KZHQA,100% verified are happier
B0002KZJ90,100% verified are happier
B0002KZJH2,100% verified are happier
B0002KZQ2A,100% non-verified are happier
B0002KZQ34,100% non-verified are happier
B0002KZSXM,0% non-verified are happier
B0002L294M,100% verified are happier
B0002L51D8,100% verified are happier
B0002L51GK,Sentiment is neutral for both
B0002L52GY,100% verified are happier
B0002LDFT0,100% verified are happier
B0002LT634,100% verified are happier
B0002M3OUO,100% verified are happier
B0002M5JNY,100% verified are happier
B0002M6A82,100% verified are happier
B0002M6Q9A,100% non-verified are happier
B0002M6ZIC,57% verified are happier
B0002M72JS,100% verified are happier
B0002M7MTS,100% non-verified are happier
B0002MDTVS,100% verified are happier
B0002MS7NS,100% verified are happier
B0002MS7O2,100% verified are happier
B0002MSKWG,0% non-verified are happier
B0002NRFH6,100% verified are happier
B0002NRTL8,100% verified are happier
B0002NYKLU,100% verified are happier
B0002OKGNK,100% verified are happier
B0002OMO8U,100% verified are happier
B0002OOMWQ,Sentiment is neutral for both
B0002OP87E,100% verified are happier
B0002OPGBW,100% verified are happier
B0002ORMSW,100% verified are happier
B0002ORP8O,100% verified are happier
B0002ORP8Y,100% verified are happier
B0002PCLVO,100% verified are happier
B0002PSCQM,0% non-verified are happier
B0002PU85K,100% verified are happier
B0002Q2DE8,100% verified are happier
B0002SGSNI,-6% verified are happier
B0002SHLXY,100% verified are happier
B0002VB8AS,100% verified are happier
B0002VSRR0,100% verified are happier
B0002WSKA8,100% verified are happier
B0002WSKC6,100% non-verified are happier
B0002XL90U,100% verified are happier
B0002Z1GSS,100% verified are happier
B0002Z1H46,100% verified are happier
B0002Z2CZY,78% verified are happier
B0002Z2D08,100% non-verified are happier
B0002ZO3FQ,100% verified are happier
B0002ZO3JW,100% verified are happier
B0002ZO3LU,100% verified are happier
B0002ZO5Z4,100% verified are happier
B0002ZPK0S,100% verified are happier
B0002ZPK2Q,100% verified are happier
B0002ZPKEO,100% verified are happier
B000300VS8,100% verified are happier
B00030ASYK,100% verified are happier
B0004K5EHA,Sentiment is neutral for both
B00061P832,100% verified are happier
B00061ZLWA,100% non-verified are happier
B000629EJA,100% verified are happier
B00062DTGE,100% verified are happier
B00064USUM,100% verified are happier
B00064UTFG,100% verified are happier
B000653JRU,100% non-verified are happier
B00065G0GW,100% verified are happier
B00065G0MG,100% verified are happier
B00065G0UI,0% non-verified are happier
B00065G10M,100% verified are happier
B00065G1AW,0% non-verified are happier
B000667682,100% non-verified are happier
B00066EJVO,100% verified are happier
B00066U2S8,100% verified are happier
B00066XTBA,100% verified are happier
B000670ZU2,100% verified are happier
B000674526,100% non-verified are happier
B00067G66Y,100% verified are happier
B00067TS4Q,0% verified are happier
B00067YLK2,74% verified are happier
B00067YLKW,100% verified are happier
B0006A0GVM,100% non-verified are happier
B0006A7WL4,100% verified are happier
B0006AZN4W,100% non-verified are happier
B0006B0W42,62% verified are happier
B0006BDTC4,100% verified are happier
B0006DONOK,100% verified are happier
B0006FS29K,100% non-verified are happier
B0006FTYG0,0% verified are happier
B0006GQ8CC,100% verified are happier
B0006HB4XE,100% verified are happier
B0006I6BVI,100% verified are happier
B0006J51Q8,0% non-verified are happier
B0006JAIUM,100% verified are happier
B0006LXW80,66% verified are happier
B0006LXW9E,100% verified are happier
B0006MON14,100% verified are happier
B0006MQ12I,100% verified are happier
B0006MQ5OM,Sentiment is neutral for both
B0006MQCHW,100% verified are happier
B0006N23YW,100% verified are happier
B0006N3IU0,100% verified are happier
B0006NDBZC,100% non-verified are happier
B0006NDF6C,100% verified are happier
B0006NMSWY,Sentiment is neutral for both
B0006NMUHM,100% verified are happier
B0006NXBT8,100% verified are happier
B0006NXNF0,100% verified are happier
B0006NXR9W,100% verified are happier
B0006NY3WW,100% verified are happier
B0006NYVJ2,0% non-verified are happier
B0006O028U,100% verified are happier
B0006O2HRO,Sentiment is neutral for both
B0006O2WEW,100% verified are happier
B0006O2WFQ,100% verified are happier
B0006OJ286,0% non-verified are happier
B0006ONB0Q,100% verified are happier
B0006OQCBQ,100% verified are happier
B0006OQCLG,100% verified are happier
B0006PJTKG,100% verified are happier
B0006Q3PCI,100% verified are happier
B0006SS0D0,0% non-verified are happier
B0006TIWKU,0% non-verified are happier
B0006UGEM2,100% verified are happier
B0006UGEOK,100% non-verified are happier
B0006UGF8A,100% verified are happier
B0006UOMN0,100% verified are happier
B0006V6G92,100% non-verified are happier
B0006VCG6E,100% verified are happier
B0006VHBW8,100% verified are happier
B0006ZJ48I,100% verified are happier
B0006ZNAZ6,100% verified are happier
B0006ZNFFG,100% verified are happier
B0006ZRDWM,100% verified are happier
B0006ZRMV4,100% verified are happier
B0006ZSTI4,100% verified are happier
B0006ZWUQ6,100% verified are happier
B0006ZXG0K,100% verified are happier
B00073G928,100% non-verified are happier
B00074WFO8,100% verified are happier
B0007506SE,100% verified are happier
B00075XAZ0,100% verified are happier
B0007875NK,100% non-verified are happier
B000788VQK,100% verified are happier
B00078DYTE,100% verified are happier
B00079T4PQ,100% verified are happier
B0007ACTA2,100% verified are happier
B0007D02PI,100% verified are happier
B0007D5DS4,100% verified are happier
B0007DA226,100% verified are happier
B0007INM5A,68% verified are happier
B0007IQPWC,100% verified are happier
B0007KIG54,100% verified are happier
B0007KKOUY,100% verified are happier
B0007KPI0U,100% non-verified are happier
B0007KVR82,100% verified are happier
B0007L44RM,100% verified are happier
B0007L8AQ8,100% verified are happier
B0007L8BQW,100% verified are happier
B0007LA8IG,100% non-verified are happier
B0007LCL18,Sentiment is neutral for both
B0007LCMFS,0% non-verified are happier
B0007M424Q,100% verified are happier
B0007MW6ZI,100% verified are happier
B0007MYQ4W,0% non-verified are happier
B0007NHRQA,100% verified are happier
B0007OGTGS,100% verified are happier
B0007P8KAU,0% non-verified are happier
B0007P98K6,100% verified are happier
B0007RB09Q,100% verified are happier
B0007RS4DG,100% verified are happier
B0007RS4EU,Sentiment is neutral for both
B0007RVL5Y,100% verified are happier
B0007TYPZA,Sentiment is neutral for both
B0007U9SOC,56% non-verified are happier
B0007WDRQA,100% non-verified are happier
B0007WDRQU,100% verified are happier
B0007WLWMG,100% verified are happier
B0007WLWRQ,100% verified are happier
B0007X90HY,100% verified are happier
B0007XJWJK,Sentiment is neutral for both
B0007XLE6O,100% verified are happier
B0007XLMC0,100% non-verified are happier
B0007XQ2W0,100% verified are happier
B0007Y18UA,100% verified are happier
B0007Y3XHQ,100% verified are happier
B0007YT1IQ,0% non-verified are happier
B0007YV7E2,100% verified are happier
B0007Z2Q4Q,100% verified are happier
B0007ZFV7A,100% verified are happier
B00080OTPO,100% non-verified are happier
B0008F6QGO,57% non-verified are happier
B0008G1YUG,100% non-verified are happier
B0008G260I,100% non-verified are happier
B0008GQ28A,Sentiment is neutral for both
B0008IUJVY,100% verified are happier
B00092Q2I8,100% verified are happier
B00095OL1K,100% verified are happier
B00097A4J6,100% verified are happier
B00097BMZ6,100% verified are happier
B0009A37XI,100% verified are happier
B0009AGXUM,100% verified are happier
B0009AMTGY,100% verified are happier
B0009DXEEM,100% verified are happier
B0009E6RQS,100% verified are happier
B0009EG4ZC,100% verified are happier
B0009EQODO,Sentiment is neutral for both
B0009ET4SG,100% verified are happier
B0009ET738,100% verified are happier
B0009ETZDK,100% verified are happier
B0009FH4CI,100% verified are happier
B0009FVNLQ,100% verified are happier
B0009G009G,100% verified are happier
B0009GH13Y,0% non-verified are happier
B0009GUORO,100% verified are happier
B0009GVYFU,100% verified are happier
B0009GZKA0,100% verified are happier
B0009GZKB4,100% verified are happier
B0009JMW9E,100% verified are happier
B0009JR9UG,100% verified are happier
B0009KMH2U,100% verified are happier
B0009LBFUO,100% verified are happier
B0009MD9Q6,100% verified are happier
B0009MFUN6,100% non-verified are happier
B0009MFUO0,83% verified are happier
B0009MFUOA,99% verified are happier
B0009MFUOU,100% non-verified are happier
B0009MFUPY,100% non-verified are happier
B0009MH5P2,100% verified are happier
B0009N5VIE,100% verified are happier
B0009NUR92,Sentiment is neutral for both
B0009QVOQO,Sentiment is neutral for both
B0009RHAT8,100% verified are happier
B0009RO11I,100% verified are happier
B0009RTYNS,100% verified are happier
B0009S4HLQ,Sentiment is neutral for both
B0009SS0X2,100% verified are happier
B0009TU9GW,100% verified are happier
B0009V4678,100% verified are happier
B0009VCB6G,100% verified are happier
B0009VCPVM,100% non-verified are happier
B0009VS7LE,Sentiment is neutral for both
B0009WX45W,100% non-verified are happier
B0009XCGVO,100% verified are happier
B0009XH4HU,0% non-verified are happier
B0009XPMP6,100% verified are happier
B0009YC9TM,100% verified are happier
B0009ZGK5K,100% verified are happier
B000A0C0WG,100% verified are happier
B000A0C0X0,Sentiment is neutral for both
B000A0WMX8,100% verified are happier
B000A142D0,100% verified are happier
B000A1B7DI,100% verified are happier
B000A1BMJ2,100% verified are happier
B000A1BMLA,100% verified are happier
B000A23CQM,62% non-verified are happier
B000A2HDXA,100% verified are happier
B000A2HO70,100% verified are happier
B000A2HOB6,57% non-verified are happier
B000A3UT8K,100% verified are happier
B000A3W442,100% verified are happier
B000A3X01I,100% verified are happier
B000A6ZGU8,Sentiment is neutral for both
B000AAGM0M,0% verified are happier
B000AAOTT8,100% verified are happier
B000AJGP1E,29% verified are happier
B000AMJAE0,100% verified are happier
B000AMPICS,100% non-verified are happier
B000AMRIIK,70% verified are happier
B000AMUV5M,100% verified are happier
B000AQFH4S,100% verified are happier
B000ARH3M6,100% verified are happier
B000ARHGSC,100% verified are happier
B000AROQOE,100% verified are happier
B000AS7QJU,100% verified are happier
B000AST3AK,97% verified are happier
B000AU4AZ6,100% verified are happier
B000AWZBTI,100% verified are happier
B000AXQHH2,100% verified are happier
B000AYF8YE,100% verified are happier
B000AZ8KY8,100% verified are happier
B000B1DSK2,100% verified are happier
B000B3DMAQ,100% verified are happier
B000B59R4O,100% non-verified are happier
B000B6DTY2,100% verified are happier
B000B6FADU,100% verified are happier
B000B85FV0,100% verified are happier
B000B8VWP8,100% verified are happier
B000B8YZQG,Sentiment is neutral for both
B000B90M0I,100% verified are happier
B000BBEQZ8,100% verified are happier
B000BBF1W0,Sentiment is neutral for both
B000BBOFYK,100% verified are happier
B000BBW3TO,100% verified are happier
B000BC1RZY,100% verified are happier
B000BD5O5M,100% verified are happier
B000BFVPVW,100% non-verified are happier
B000BHC4BU,78% non-verified are happier
B000BHRN9I,Sentiment is neutral for both
B000BI3M1K,100% verified are happier
B000BJ4HBS,100% verified are happier
B000BK4G68,100% verified are happier
